title,charge-e-de-gestion-des-ressources-humaines,manager-rh,gestionnaire-de-paie,data-architect,developpeur-se-dapplication-python,developpeur-web-junior,community-manager,responsable-marketing-operationnel,developpeur-se-d-application-php-symfony,data-scientist,expert-e-en-strategie-marketing-et-communication,data-analyst,theme
Apprenez à gérer les conflits,True,True,True,False,False,False,False,False,False,False,False,False,RH
Réalisez des calculs distribués sur des données massives,False,False,False,True,False,False,False,False,False,False,False,False,data
Managez une équipe au quotidien,False,True,False,False,False,False,False,False,False,False,False,False,RH
Gérez votre code avec Git et GitHub,False,False,False,False,True,True,False,False,False,False,False,False,dev
Lancez une campagne de publicité avec Google AdWords,False,False,False,False,False,False,True,True,False,False,False,False,marketing
Découvrez les solutions CMS,False,False,False,False,False,True,False,False,False,False,False,False,dev
Gérez un projet digital avec une méthodologie en cascade,False,False,False,False,False,False,True,True,True,False,False,False,multi-parcours
Mettez en place un système de veille informationnelle,True,True,True,False,False,False,False,True,False,False,False,False,RH & marketing
Programmez en orienté objet en PHP,False,False,False,False,False,True,False,False,True,False,False,False,dev
Initiez-vous au marketing événementiel,False,False,False,False,False,False,True,True,False,False,False,False,marketing
Modélisez vos données avec les méthodes ensemblistes,False,False,False,False,False,False,False,False,False,True,False,False,data
Comprenez votre audience avec Google Analytics,False,False,False,False,False,False,True,True,False,False,True,False,marketing
Découvrez le framework Django,False,False,False,False,True,False,False,False,False,False,False,False,dev
Bienvenue parmi les étudiants !,True,True,True,True,True,False,True,True,True,True,True,True,multi-parcours
Gérez la relation de travail,True,True,True,False,False,False,False,False,False,False,False,False,RH
Elaborez un plan de recrutement,True,True,False,False,False,False,False,False,False,False,False,False,RH
Initiez-vous au Marketing Digital,False,False,False,False,False,False,True,True,False,False,True,False,marketing
Construisez et pilotez une marque dans le temps,False,False,False,False,False,False,True,False,False,False,True,False,marketing
Améliorez l'impact de vos présentations,True,True,False,False,False,False,True,True,False,False,True,False,RH & marketing
Initiez-vous à la comptabilité,False,False,True,False,False,False,False,False,False,False,False,False,RH
Réussir sa campagne d'e-mailing avec MailChimp,False,False,False,False,False,False,True,True,False,False,True,False,marketing
Apprenez à créer votre site web avec HTML5 et CSS3,False,False,False,False,True,True,True,True,True,False,False,False,multi-parcours
La fonction RH au coeur de la transformation digitale !,True,True,False,False,False,False,False,False,False,False,True,False,RH & marketing
Démarrez votre projet avec Python,False,False,False,False,True,False,False,False,False,False,False,True,multi-parcours
Définir son projet professionnel,True,False,False,False,False,False,False,False,False,False,False,False,RH
Découvrez les librairies Python pour la Data Science,False,False,False,False,False,False,False,False,False,True,False,False,data
Maîtrisez les procédures et les conséquences d'un licenciement,False,True,False,False,False,False,False,False,False,False,False,False,RH
Intégrez en paie les éléments variables de rémunération,False,False,True,False,False,False,False,False,False,False,False,False,RH
Exploitez des données textuelles,False,False,False,False,False,False,False,False,False,True,False,False,data
Créez des visuels avec Illustrator,False,False,False,False,False,False,True,False,False,False,False,False,marketing
Apprenez à apprendre,True,True,True,True,True,False,True,True,True,True,True,True,multi-parcours
Créez des pages web interactives avec JavaScript,False,False,False,False,True,True,False,False,False,False,False,False,dev
Faites une base de données avec UML,False,False,False,False,True,False,False,False,True,False,False,False,dev
Maintenez-vous à jour en développement,False,False,False,False,True,False,False,False,True,False,False,False,dev
Découvrir la posture d’agilité,False,True,False,False,False,False,False,False,False,False,False,False,RH
Réalisez des reportings et des budgets pour convaincre,False,True,False,False,False,False,False,False,False,False,False,False,RH
Réalisez une analyse exploratoire de données,False,False,False,False,False,False,False,False,False,False,False,True,data
Le commerce omnicanal pour transformer la relation client,False,False,False,False,False,False,False,False,False,False,True,False,marketing
Adoptez une architecture MVC en PHP,False,False,False,False,False,True,False,False,True,False,False,False,dev
Découper et intégrer une maquette,False,False,False,False,False,True,False,False,True,False,False,False,dev
Intégrez vos nouveaux collaborateurs,True,False,True,False,False,False,False,False,False,False,False,False,RH
Lancez une campagne Facebook Ads,False,False,False,False,False,False,True,True,False,False,False,False,marketing
Utilisez des API REST dans vos projets web,False,False,False,False,True,False,False,False,True,False,False,False,dev
Découvrez la programmation orientée objet avec Python,False,False,False,False,True,False,False,False,False,False,False,False,dev
Testez et suivez l'état de votre application PHP,False,False,False,False,False,False,False,False,True,False,False,False,dev
Initiez-vous au machine learning,False,False,False,False,False,False,False,False,False,True,False,False,data
Concevez votre campagne de crowdfunding,False,False,False,False,False,False,True,False,False,False,False,False,marketing
Utilisez les effets avancés de CSS sur votre site,False,False,False,False,False,True,False,False,False,False,False,False,dev
Les clés pour devenir Community Manager,False,False,False,False,False,False,True,False,False,False,False,False,marketing
Réalisez des sites modernes et beaux grâce à WordPress,False,False,False,False,False,True,False,True,True,False,False,False,multi-parcours
Construisez une API REST avec Symfony,False,False,False,False,False,False,False,False,True,False,False,False,dev
Réussissez vos campagnes de marketing mobile,False,False,False,False,False,False,False,True,False,False,False,False,marketing
Maîtrisez l'univers des cotisations sociales,True,False,True,False,False,False,False,False,False,False,False,False,RH
Gérer son identité numérique,True,True,False,False,False,False,False,False,False,False,False,False,RH
Créez votre site professionnel avec WordPress,False,False,False,False,False,False,False,True,False,False,False,False,marketing
Évaluez et améliorez les performances d'un modèle de machine learning,False,False,False,False,False,False,False,False,False,True,False,False,data
Développez votre leadership pour mieux diriger,False,True,False,False,False,False,False,False,False,False,True,False,RH & marketing
Maîtrisez l'ingénierie financière de la formation professionnelle,True,False,False,False,False,False,False,False,False,False,False,False,RH
Sélectionnez les meilleurs candidats,True,True,False,False,False,False,False,False,False,False,False,False,RH
Analysez et modélisez des séries temporelles,False,False,False,False,False,False,False,False,False,False,False,True,data
Faire l’inventaire de ses compétences,True,True,True,False,False,False,False,False,False,False,False,False,RH
Développez votre personal branding,False,False,False,False,False,False,True,True,False,False,True,False,marketing
Créez votre premier site avec WordPress,False,False,False,False,False,False,True,True,False,False,True,False,marketing
Comprendre le Web,True,False,True,True,True,True,True,True,True,True,False,True,multi-parcours
Perfectionnez-vous en Python,False,False,False,False,True,False,False,False,False,False,False,False,dev
Rédiger un CV efficace,False,False,False,False,False,False,True,False,False,False,False,False,marketing
Maîtrisez les bases de données NoSQL,False,False,False,True,False,False,False,False,False,False,False,False,data
Classez et segmentez des données visuelles,False,False,False,False,False,False,False,False,False,True,False,False,data
Structurez la communication interne de votre entreprise,False,True,False,False,False,False,False,False,False,False,True,False,RH & marketing
Administrez vos bases de données avec MySQL,False,False,False,False,True,False,False,False,True,False,False,False,dev
Testez votre projet avec Python,False,False,False,False,True,False,False,False,False,False,False,False,dev
Rédigez des écrits professionnels,False,False,True,False,False,False,False,False,False,False,False,False,RH
Réalisez un audit marketing,False,False,False,False,False,False,False,True,False,False,True,False,marketing
Entraînez un modèle prédictif linéaire,False,False,False,False,False,False,False,False,False,True,False,False,data
Découvrez les calculs de paie et comment les contrôler,True,False,True,False,False,False,False,False,False,False,False,False,RH
Réalisez des rapports statistiques clairs et impactants,False,False,False,False,False,False,False,False,False,False,False,True,data
Animez une politique de mobilité,False,True,False,False,False,False,False,False,False,False,False,False,RH
Etudiez votre communauté avec le Social Media Analytics,False,False,False,False,False,False,True,True,False,False,True,False,marketing
Prenez la parole en public,False,True,False,False,False,False,True,True,False,False,False,False,RH & marketing
Gérez votre projet informatique facilement !,False,False,False,False,True,False,False,False,True,False,False,False,dev
Gérez des flux de données temps réel,False,False,False,True,False,False,False,False,False,False,False,False,data
Utilisez des modèles supervisés non linéaires,False,False,False,False,False,False,False,False,False,True,False,False,data
Rédigez votre rapport de stage,False,False,False,False,True,True,False,False,True,True,False,False,multi-parcours
Testez fonctionnellement votre application Symfony,False,False,False,False,False,False,False,False,True,False,False,False,dev
Les clés pour réussir son référencement web,False,False,False,False,False,True,True,True,False,False,True,False,multi-parcours
Évaluer sa maîtrise des outils bureautiques,True,False,True,False,False,False,False,False,False,False,False,False,RH
Développez votre site web avec le framework Symfony,False,False,False,False,False,False,False,False,True,False,False,False,dev
Animez une communauté Twitter,True,False,False,False,False,False,True,False,False,False,False,False,RH & marketing
Créez votre Data Lake,False,False,False,True,False,False,False,False,False,False,False,False,data
Développez votre activité avec le Marketing de Contenu,False,False,False,False,False,False,True,True,False,False,True,False,marketing
Concevez un site avec Flask,False,False,False,False,True,False,False,False,False,True,False,False,multi-parcours
